!I|NONE|NONE
!newmap|NONE|NONE
!tm2|324|979
'Nso|179|539
0000_Pinky|735|2056
007 - 1|NONE|NONE
037dm2|331|971
0gravity|1835|5315
1 (1)|2414|6936
1 (15)|896|2727
1.WTC_ddarce|949|2799
1|NONE|NONE
10|650|1945
101|967|2884
110_ctf5_based|1020|3067
123|NONE|NONE
123124|0|0
1234|1049|3126
158_ctfjale|388|1210
1Hook|328|1059
1Plll|1259|3854
1_Sequrz|388|1244
1manarmy|NONE|NONE
1of4|807|2356
1p3|1259|3854
1pII|NONE|NONE
1pMINI|816|2224
1pVII|1631|4345
1shad|8|13
1sttry|1050|2776
1x1|0|0
2|266|852
237_LilKill_s_TeeMo1|1060|3245
2_|1131|3380
2gametypes|173|550
2hard4u|1666|4572
2moons|1268|3700
2of4|1510|4359
2towers|1160|3502
3|1435|4301
3.map|409|1133
3d_round|291|880
3p|355|1048
3palaces|1099|2992
3rd try|689|2052
4|NONE|NONE
40KiB|776|2380
47|8|6
4died_by_chat|578|1670
4four|NONE|NONE
4noobs|NONE|NONE
50x50|453|1141
62_ctf5|638|1967
666r|NONE|NONE
69|NONE|NONE
6floors|NONE|NONE
700|124|364
9|1620|4744
9nein|309|1054
;)|SKIPPED|SKIPPED
=))|NONE|NONE
AIP45|NONE|NONE
AMoreViolentApproach4|935|2547
Adrenaline6guestpart1|NONE|NONE
AimHigh|730|2230
Aip|NONE|NONE
AldiExp|393|1072
Alexmap25|354|1164
Alexmap9|894|2770
Alive1|NONE|NONE
All at the beginning|1962|5797
Allround2|306|920
Alone_6|1099|2850
Alpha-1|1766|5327
Alta_I-begin|NONE|NONE
Anali_1|3298|9542
Anali_3|1167|3368
Anali_Comp|3298|9555
Anali_Compilation|3307|9585
Angry 1|2155|6577
Angry 2|1946|5681
Angry|2119|6499
Ante|NONE|NONE
Aperture 1|1413|4173
Apocalyptic|540|1652
AreaOfEffect|NONE|NONE
Assault-TS|546|1573
Atticus 5|NONE|NONE
Atticus Compilation|NONE|NONE
Atticus I|NONE|NONE
Atticus II|1351|3871
Atticus_1|NONE|NONE
Atticus_2|1334|3816
Atticus_3|1316|3577
Atticus_6|NONE|NONE
Atticus_Compilation|NONE|NONE
Atticus_I|NONE|NONE
Atticus_III|1311|3560
Atticus_IV|936|2610
Aura|NONE|NONE
AvaIslandsRoM02|741|2304
AvoMap|307|930
BB22|711|1805
BLMapTech|793|2319
Bannzay|1438|4190
Banta|1695|5172
Basket_by_Lime.ftw!|48|144
Beach_house|1193|3209
BeatZ|1098|3445
BigDD|1783|5067
BiopiTrainV0|NONE|NONE
Bioshock|632|1903
Birinci|627|1679
BitDs|1491|4601
BitLand|2074|6594
Black & Red|NONE|NONE
BlackJungle|2924|7570
Blauer-Wald|151|413
BlmapDT_UPGRADES|NONE|NONE
BlmapV18|NONE|NONE
BlmapV7|1415|4181
BlockGurke|328|974
BlockSad|1593|4890
Blockade|589|1785
Blockade_|589|1785
Blocker der verwirrung|0|0
Blocki_|104|317
Blockwar|342|1040
Bloody_Cave|NONE|NONE
Blu3Kitts_city|NONE|NONE
BluE_CaVe |NONE|NONE
BluE_CaVe|NONE|NONE
Blue|2088|6087
BoX|NONE|NONE
BoX_2|NONE|NONE
BrokenMini|501|1416
Brown Suger|1053|3116
BuKK!~Sektor C1|NONE|NONE
Buchstaben|1429|3758
Buckle_Up|288|898
Bukkblablabla|768|2274
BukksUnhookable|NONE|NONE
Bukks~Airbattle1|NONE|NONE
Bullseye|122|326
Bush|1232|2414
C2K-Commando|NONE|NONE
C2K-Sunrise|422|1299
CLOSED-GO-0.6|1778|5335
CORP_CTF5|592|1813
CRAZY2|1350|4174
CREMATORIA|158|466
CR_lala|1380|3480
CTF Eagle 1|748|2244
CTF-Castles by krylostas|NONE|NONE
CTF_FOREST|235|754
CUBE_Zero|739|1746
CYO|218|646
CZ-ctf5|884|2752
CampainTwo|NONE|NONE
Campotle 3|1691|4808
Campotle_2|724|2285
Carry_Jungle|198|624
Ch-IV|NONE|NONE
Chdd_comp|1286|3678
Chicken Pie 2|1986|5949
Chicken_Pie|580|1742
Circle|NONE|NONE
Cocaine|NONE|NONE
CofmanDDR|715|1935
